id,competition_id,eventNumber,name,date,rink,time,enterAt
1,1,1,Excel Pre-Preliminary Girls Free Skate-Grp A,2025-05-17,1,08:00:00,
2,1,2,Excel Pre-Preliminary Girls Free Skate-Grp B,2025-05-17,1,08:00:00,
3,1,3,Excel Pre-Preliminary Girls Free Skate-Grp C,2025-05-17,1,08:30:00,
4,1,4,Excel Pre-Preliminary Girls Free Skate-Grp D,2025-05-17,1,08:30:00,
5,1,5,Excel Preliminary Girls Free Skate-Grp A,2025-05-17,1,09:00:00,
6,1,6,Excel Preliminary Girls Free Skate-Grp B,2025-05-17,1,09:25:00,
7,1,7,Excel Preliminary Girls Free Skate-Grp C,2025-05-17,1,09:50:00,
8,1,8,Excel Preliminary Girls Free Skate-Grp D,2025-05-17,1,10:10:00,
9,1,9,Excel Preliminary Boys Free Skate,2025-05-17,1,10:10:00,
10,1,10,Excel Preliminary Plus Girls Free Skate-Grp A,2025-05-17,1,10:35:00,
11,1,11,Excel Preliminary Plus Girls Free Skate-Grp B,2025-05-17,1,10:35:00,
12,1,12,Excel Preliminary Plus Girls Free Skate-Grp C,2025-05-17,1,11:25:00,
13,1,13,Excel Preliminary Plus Girls Free Skate-Grp D,2025-05-17,1,11:25:00,
14,1,14,Excel Preliminary Plus Girls Free Skate-Grp E,2025-05-17,1,11:55:00,
15,1,16,Well Balanced Preliminary Girls Free Skate,2025-05-17,1,12:15:00,
16,1,17,Excel Senior Women Free Skate,2025-05-17,1,12:35:00,
17,1,18,Excel Senior Men Free Skate,2025-05-17,1,12:35:00,
18,1,19,Excel Junior Women Free Skate,2025-05-17,1,12:50:00,
19,1,20,Excel Novice Women Free Skate,2025-05-17,1,12:50:00,
20,1,21,Excel Intermediate Plus Women Free Skate,2025-05-17,1,13:10:00,
21,1,22,Excel Intermediate Plus Men Free Skate,2025-05-17,1,13:10:00,
22,1,23,Excel Intermediate Women Free Skate,2025-05-17,1,13:40:00,
23,1,24,Excel Juvenile Plus Girls Free Skate,2025-05-17,1,14:05:00,
24,1,25,Excel Juvenile Plus Boys Free Skate,2025-05-17,1,14:05:00,
25,1,26,Excel Juvenile Girls Free Skate,2025-05-17,1,14:45:00,
26,1,27,Well Balanced Pre-Juvenile Girls Free Skate,2025-05-17,1,14:45:00,
27,1,28,Excsl Pre-Juvenile Plus Girls Free Skate-Grp A,2025-05-17,1,15:20:00,
28,1,29,Excsl Pre-Juvenile Plus Girls Free Skate-Grp B,2025-05-17,1,15:20:00,
29,1,30,Excsl Pre-Juvenile Plus Girls Free Skate-Grp C,2025-05-17,1,15:55:00,
30,1,31,Excsl Pre-Juvenile Plus Girls Free Skate-Grp D,2025-05-17,1,15:55:00,
31,1,32,Masters Int-Nov Women Free Skate,2025-05-17,1,16:30:00,
32,1,33,Adult High Beginner Free Skate,2025-05-17,1,16:30:00,
33,1,34,Adult Pre-Bronze Free Skate,2025-05-17,1,16:50:00,
34,1,35,Adult Silver Free Skate,2025-05-17,1,16:50:00,
35,1,36,Adult Bronze Free Skate-Grp A,2025-05-17,1,17:10:00,
36,1,37,Adult Bronze Free Skate-Grp B,2025-05-17,1,17:10:00,
37,1,38,Preliminary Solo Pattern Dance-Grp A,2025-05-17,1,17:35:00,
38,1,39,Preliminary Solo Pattern Dance-Grp B,2025-05-17,1,17:50:00,
39,1,40,Preliminary Solo Pattern Dance-Grp C,2025-05-17,1,18:00:00,
40,1,41,International Solo Pattern Dance,2025-05-17,1,18:25:00,
41,1,42,Gold Solo Pattern Dance,2025-05-17,1,18:35:00,
42,1,43,Adult Silver Solo Pattern Dance,2025-05-17,1,18:45:00,
